Index	Name	IsConst	Min	Max	Unique values	Unique values in characters
5	CW_NO_READ	False	0	1	[0, 1]	['\x00', '\x01']
6	CW_GOOD_READ	True			[0]	['\x00']
7	CW_EXTERNAL_OUTPUT_1	False	0	1	[1, 0]	['\x01', '\x00']
8	CW_EXTERNAL_OUTPUT_2	True			[0]	['\x00']
9	CW_RESULT_1	True			[0]	['\x00']
10	CW_RESULT_2	True			[0]	['\x00']
11	CW_SYSTEM_READY	True			[0]	['\x00']
12	CW_EXTERNAL_INPUT_1	True			[0]	['\x00']
13	CW_EXTERNAL_INPUT_2	True			[0]	['\x00']
14	CW_SENSOR_1	True			[0]	['\x00']
15	CW_SENSOR_2	True			[0]	['\x00']
16	CW_RESERVED_02	True			[0]	['\x00']
17	CW_RESERVED_03	True			[0]	['\x00']
18	CW_TRIGGER_SENSOR_NO	False	0	1	[0, 1]	['\x00', '\x01']
19	CW_TRIGGER_SENSOR_NC	False	0	1	[1, 0]	['\x01', '\x00']
20	GOOD_READ	False	0	1	[0, 1]	['\x00', '\x01']
21	NO_READ	True			[0]	['\x00']
22	DEVICE_READY	True			[1]	['\x01']
23	SYSTEM_READY	True			[0]	['\x00']
24	ATR_DO_STATE	True			[0]	['\x00']
25	HEAD_01	False	8	12	[8, 12]	['\x08', '\x0c']
26	HEAD_03	True			[0]	['\x00']
27	HEAD_04	False	13	26	[13, 26]	['\r', '\x1a']
28	HEAD_05	True			[0]	['\x00']
29	DATA_01	False	48	72	[72, 63, 48]	['H', '?', '0']
30	DATA_02	False	50	72	[72, 63, 53, 50]	['H', '?', '5', '2']
31	DATA_03	False	51	72	[72, 63, 57, 51]	['H', '?', '9', '3']
32	DATA_04	False	48	72	[72, 63, 48, 53]	['H', '?', '0', '5']
33	DATA_05	False	49	72	[72, 63, 49, 56]	['H', '?', '1', '8']
34	DATA_06	False	50	72	[72, 63, 50, 56]	['H', '?', '2', '8']
35	DATA_07	False	51	72	[72, 63, 51, 56]	['H', '?', '3', '8']
36	DATA_08	False	48	72	[72, 63, 52, 55, 48]	['H', '?', '4', '7', '0']
37	DATA_09	False	52	72	[72, 63, 52, 54, 56]	['H', '?', '4', '6', '8']
38	DATA_10	False	48	72	[72, 63, 56, 48, 51]	['H', '?', '8', '0', '3']
39	DATA_11	False	32	72	[72, 32]	['H', ' ']
40	DATA_12	True			[32]	[' ']
41	DATA_13	False	32	59	[32, 59]	[' ', ';']
42	DATA_14	False	0	51	[0, 48, 51]	['\x00', '0', '3']
43	DATA_15	False	0	57	[0, 53, 57]	['\x00', '5', '9']
44	DATA_16	False	0	57	[0, 57]	['\x00', '9']
45	DATA_17	False	0	57	[0, 48, 57]	['\x00', '0', '9']
46	DATA_18	False	0	56	[0, 49, 56]	['\x00', '1', '8']
47	DATA_19	False	0	50	[0, 50, 48]	['\x00', '2', '0']
48	DATA_20	False	0	51	[0, 51, 49]	['\x00', '3', '1']
49	DATA_21	False	0	56	[0, 52, 53, 55, 54, 56, 49]	['\x00', '4', '5', '7', '6', '8', '1']
50	DATA_22	False	0	57	[0, 50, 49, 53, 52, 54, 48, 57, 56, 51, 55]	['\x00', '2', '1', '5', '4', '6', '0', '9', '8', '3', '7']
51	DATA_23	False	0	57	[0, 55, 53, 57, 50, 51, 48, 54, 56, 52]	['\x00', '7', '5', '9', '2', '3', '0', '6', '8', '4']
52	DATA_24	False	0	32	[0, 32]	['\x00', ' ']
53	DATA_25	False	0	32	[0, 32]	['\x00', ' ']
54	DATA_26	False	0	48	[0, 48]	['\x00', '0']
55	DATA_27	True			[0]	['\x00']
56	ATR.IN.HEADER.RESERVED_05	True			[0]	['\x00']
57	ATR.IN.HEADER.BUFFER_OVERRUN	True			[0]	['\x00']
58	ATR.IN.HEADER.RESERVED_04	True			[0]	['\x00']
59	ATR.IN.HEADER.RESERVED_03	True			[0]	['\x00']
60	ATR.IN.HEADER.PLCERROR	True			[1]	['\x01']
61	ATR.IN.HEADER.HEARTBEAT	False	0	1	[0, 1]	['\x00', '\x01']
62	ATR.IN.HEADER.RESERVED_02	True			[0]	['\x00']
63	ATR.IN.HEADER.RESERVED_01	True			[0]	['\x00']
64	ATR.IN.HEADER.TRANSMIT_COUNT_BACK_B	True			[0]	['\x00']
65	ATR.IN.HEADER.RECIEVE_LENGTH_LSB_B	False	13	26	[13, 26]	['\r', '\x1a']
66	ATR.IN.HEADER.RECIEVE_LENGTH_MSB_B	True			[0]	['\x00']
67	ATR.IN.HEADER.RECIEVE_COUNT_B	Increasing
68	BARCODE_AC[1]	False	48	63	[63, 48]	['?', '0']
69	BARCODE_AC[2]	False	50	63	[63, 53, 50]	['?', '5', '2']
