Index	Name	IsConst	Min	Max	Unique values	Unique values in characters
4	CODE_REQ_XB1.190_XR	False	0	1	[0, 1]	['\x00', '\x01']
5	XRAY_READY_XB1.190_XR	True			[1]	['\x01']
6	SPEED_OK_XB1.190_XR	False	0	1	[0, 1]	['\x00', '\x01']
7	SPARE_I80.4_XB1.190_XR	True			[1]	['\x01']
8	POWER_ON_XB1.190_XR	True			[1]	['\x01']
9	REPAIR_SWITCH_XB1.190_XR	True			[0]	['\x00']
10	SERVICE_MODE_XB1.190_XR	True			[0]	['\x00']
11	TRANSIT_MODE_XB1.190_XR	True			[0]	['\x00']
12	NO_SCAN_ACT_XB1.190_XR	True			[0]	['\x00']
13	LS3_XB1.190_XR	False	0	1	[0, 1]	['\x00', '\x01']
14	SPARE_I81.3_XB1.190_XR	False	0	1	[0, 1]	['\x00', '\x01']
15	ES_RESET_XB1.190_XR	True			[0]	['\x00']
16	SPARE_I81.5_XB1.190_XR	True			[0]	['\x00']
17	SPARE_I81.6_XB1.190_XR	True			[0]	['\x00']
18	SPARE_I81.7_XB1.190_XR	True			[0]	['\x00']
19	LS0_XB1.190_XR	False	0	1	[0, 1]	['\x00', '\x01']
20	LS1_XB1.190_XR	False	0	1	[0, 1]	['\x00', '\x01']
21	SPARE_I82.2_XB1.190_XR	True			[0]	['\x00']
22	SPARE_I82.3_XB1.190_XR	True			[0]	['\x00']
23	LS4_XB1.190_XR	False	0	1	[0, 1]	['\x00', '\x01']
24	SPARE_I82.5_XB1.190_XR	True			[0]	['\x00']
25	SPARE_I82.6_XB1.190_XR	True			[0]	['\x00']
26	XB1.190_ESB11-15	True			[1]	['\x01']
27	IB 512	False	0	113	[0, 17, 113]	['\x00', '\x11', 'q']
28	IB 513	True			[0]	['\x00']
29	IB 514	False	0	1	[0, 1]	['\x00', '\x01']
30	IB 515	False	0	68	[48, 0, 68]	['0', '\x00', 'D']
31	IB 516	False	48	49	[49, 48]	['1', '0']
32	IB 517	False	48	53	[53, 48]	['5', '0']
33	IB 518	False	48	55	[55, 48]	['7', '0']
34	IB 519	False	48	53	[53, 48]	['5', '0']
35	IB 520	False	49	56	[56, 49]	['8', '1']
36	IB 521	False	52	53	[52, 53]	['4', '5']
37	IB 522	False	52	54	[52, 54]	['4', '6']
38	IB 523	False	51	55	[55, 51]	['7', '3']
39	IB 524	True			[50]	['2']
40	IB 525	True			[32]	[' ']
41	IB 526	True			[32]	[' ']
42	IB 527	False	72	78	[78, 72]	['N', 'H']
43	IB 528	True			[32]	[' ']
44	IB 529	True			[49]	['1']
45	IB 530	True			[82]	['R']
46	IB 531	True			[50]	['2']
47	IB 532	False	82	84	[84, 82]	['T', 'R']
48	IB 533	True			[0]	['\x00']
49	IB 534	True			[0]	['\x00']
50	IB 535	True			[0]	['\x00']
51	IB 536	True			[0]	['\x00']
52	IB 537	True			[0]	['\x00']
53	IB 538	True			[0]	['\x00']
54	IB 539	True			[0]	['\x00']
55	IB 540	True			[0]	['\x00']
56	IB 541	True			[0]	['\x00']
57	IB 542	True			[0]	['\x00']
58	IB 543	True			[0]	['\x00']
59	QB 512	False	0	33	[33, 17, 0]	['!', '\x11', '\x00']
60	QB 513	True			[0]	['\x00']
61	QB 514	False	0	14	[0, 14]	['\x00', '\x0e']
62	QB 515	False	0	68	[0, 68]	['\x00', 'D']
63	QB 516	False	0	48	[0, 48]	['\x00', '0']
64	QB 517	False	0	48	[0, 48]	['\x00', '0']
65	QB 518	False	0	48	[0, 48]	['\x00', '0']
66	QB 519	False	0	48	[0, 48]	['\x00', '0']
67	QB 520	False	0	49	[0, 49]	['\x00', '1']
68	QB 521	False	0	53	[0, 53]	['\x00', '5']
69	QB 522	False	0	54	[0, 54]	['\x00', '6']
70	QB 523	False	0	51	[0, 51]	['\x00', '3']
71	QB 524	False	0	50	[0, 50]	['\x00', '2']
72	QB 525	False	0	32	[0, 32]	['\x00', ' ']
73	QB 526	False	0	32	[0, 32]	['\x00', ' ']
74	QB 527	False	0	72	[0, 72]	['\x00', 'H']
75	QB 528	False	0	32	[0, 32]	['\x00', ' ']
76	QB 529	True			[0]	['\x00']
77	QB 530	True			[0]	['\x00']
78	QB 531	True			[0]	['\x00']
79	QB 532	True			[0]	['\x00']
80	QB 533	True			[0]	['\x00']
81	QB 534	True			[0]	['\x00']
82	QB 535	True			[0]	['\x00']
83	QB 536	True			[0]	['\x00']
84	QB 537	True			[0]	['\x00']
85	QB 538	True			[0]	['\x00']
86	QB 539	True			[0]	['\x00']
87	QB 540	True			[0]	['\x00']
88	QB 541	True			[0]	['\x00']
89	QB 542	True			[0]	['\x00']
90	QB 543	True			[0]	['\x00']
91	Trigger	True			[0]	['\x00']
